sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.1,72913.29757,20829914.69,4.12E+07,412375.5304,170.0989111,1849.901089,7.614897216,5.615292887,6.615095052
L3.1.1.1,74608.95566,20872282.05,4.13E+07,410895.315,174.0329168,1845.967083,7.615950052,5.613731189,6.614840621
L3.1.1.1,76304.61374,20921190.37,4.14E+07,404701.1097,178.0137558,1841.986244,7.617000341,5.607134395,6.612067368
L3.1.1.1,78000.27182,20952105.95,4.15E+07,397783.8263,181.9477615,1838.052239,7.618048097,5.599647121,6.608847609
L3.1.1.1,79695.92991,20987495.23,4.16E+07,393071.0406,185.9286005,1834.071399,7.619093331,5.594471048,6.60678219
L3.1.1.1,81391.58799,21035027.36,4.17E+07,383158.1651,189.8626062,1830.137394,7.620136055,5.583378085,6.60175707
L3.1.1.1,83087.24607,21047985.71,4.17E+07,376302.9615,193.8434453,1826.156555,7.620136055,5.575537636,6.597836846
L3.1.1.1,84782.90416,21138076.74,4.19E+07,371398.3198,197.7774509,1822.222549,7.622214023,5.569839935,6.596026979
L3.1.1.1,86478.56224,21225748.15,4.21E+07,365096.9766,201.75829,1818.24171,7.624282096,5.562408237,6.593345166
L3.1.1.1,88174.22032,21232493.53,4.21E+07,356190.0145,205.6922956,1814.307704,7.624282096,5.55168174,6.587981918
L3.1.1.1,89869.87841,21280133.6,4.22E+07,346834.9548,209.6731347,1810.326865,7.625312451,5.54012286,6.582717656
L3.1.1.1,91565.53649,21339408.35,4.23E+07,335660.6217,213.6071403,1806.39286,7.626340367,5.525900395,6.576120381
L3.1.1.1,93261.19457,21364068.74,4.24E+07,325926.8089,217.541146,1802.458854,7.627365857,5.513120085,6.570242971
L3.1.1.1,94956.85266,21447105.05,4.26E+07,315665.2502,221.521985,1798.478015,7.629409599,5.499226776,6.564318187
L3.1.1.1,96652.51074,21522963.96,4.27E+07,302123.2864,225.4559907,1794.544009,7.630427875,5.4801842,6.555306038
L3.1.1.1,98348.16882,21598323.4,4.29E+07,294229.8045,229.4368297,1790.56317,7.632457292,5.468686663,6.550571978
